created_at,vote_preference,verification_type,candidate_name,ballot_id,box_location,image_url
2025-11-28T11:05:15.297742+00:00,3,Valid,Adams,140799,,7-Seater-Election-images-1.jpg
2025-11-28T11:05:15.297742+00:00,1,Valid,Daniels,140799,,7-Seater-Election-images-1.jpg
2025-11-28T11:05:15.297742+00:00,9,Valid,Dewey,140799,,7-Seater-Election-images-1.jpg
2025-11-28T11:05:15.297742+00:00,5,Valid,Grolish,140799,,7-Seater-Election-images-1.jpg
2025-11-28T11:05:15.297742+00:00,6,Valid,Guinness,140799,,7-Seater-Election-images-1.jpg
2025-11-28T11:05:15.297742+00:00,7,Valid,Hennessey,140799,,7-Seater-Election-images-1.jpg
2025-11-28T11:05:15.297742+00:00,8,Valid,Middleton,140799,,7-Seater-Election-images-1.jpg
2025-11-28T11:05:15.297742+00:00,4,Valid,Power,140799,,7-Seater-Election-images-1.jpg
2025-11-28T11:05:15.297742+00:00,2,Valid,Tia,140799,,7-Seater-Election-images-1.jpg
2025-11-28T11:05:15.297742+00:00,3,Valid,Daniels,33059,,7-Seater-Election-images-10.jpg
2025-11-28T11:05:15.297742+00:00,2,Valid,Dewey,33059,,7-Seater-Election-images-10.jpg
2025-11-28T11:05:15.297742+00:00,1,Valid,Middleton,33059,,7-Seater-Election-images-10.jpg
2025-11-28T11:05:15.297742+00:00,6,Valid,Adams,34921,,7-Seater-Election-images-11.jpg
2025-11-28T11:05:15.297742+00:00,4,Valid,Daniels,34921,,7-Seater-Election-images-11.jpg
2025-11-28T11:05:15.297742+00:00,3,Valid,Dewey,34921,,7-Seater-Election-images-11.jpg
2025-11-28T11:05:15.297742+00:00,5,Valid,Guinness,34921,,7-Seater-Election-images-11.jpg
2025-11-28T11:05:15.297742+00:00,2,Valid,Power,34921,,7-Seater-Election-images-11.jpg
2025-11-28T11:05:15.297742+00:00,1,Valid,Tia,34921,,7-Seater-Election-images-11.jpg
2025-11-28T11:05:15.297742+00:00,3,Valid,Crawford,103988,,7-Seater-Election-images-12.jpg
2025-11-28T11:05:15.297742+00:00,2,Valid,Daniels,103988,,7-Seater-Election-images-12.jpg
2025-11-28T11:05:15.297742+00:00,1,Valid,Dewey,103988,,7-Seater-Election-images-12.jpg
2025-11-28T11:05:15.297742+00:00,4,Valid,Grolish,103988,,7-Seater-Election-images-12.jpg
2025-11-28T11:05:15.297742+00:00,5,Valid,Guinness,103988,,7-Seater-Election-images-12.jpg
2025-11-28T11:05:15.297742+00:00,6,Valid,Hennessey,103988,,7-Seater-Election-images-12.jpg
2025-11-28T11:05:15.297742+00:00,7,Valid,Middleton,103988,,7-Seater-Election-images-12.jpg
2025-11-28T11:05:15.297742+00:00,8,Valid,Power,103988,,7-Seater-Election-images-12.jpg
2025-11-28T11:05:15.297742+00:00,2,Valid,Adams,100621,,7-Seater-Election-images-13.jpg
2025-11-28T11:05:15.297742+00:00,7,Valid,Crawford,100621,,7-Seater-Election-images-13.jpg
2025-11-28T11:05:15.297742+00:00,1,Valid,Daniels,100621,,7-Seater-Election-images-13.jpg
2025-11-28T11:05:15.297742+00:00,9,Valid,Dewey,100621,,7-Seater-Election-images-13.jpg
2025-11-28T11:05:15.297742+00:00,10,Valid,Grolish,100621,,7-Seater-Election-images-13.jpg
2025-11-28T11:05:15.297742+00:00,8,Valid,Guinness,100621,,7-Seater-Election-images-13.jpg
2025-11-28T11:05:15.297742+00:00,6,Valid,Hennessey,100621,,7-Seater-Election-images-13.jpg
2025-11-28T11:05:15.297742+00:00,5,Valid,Middleton,100621,,7-Seater-Election-images-13.jpg
2025-11-28T11:05:15.297742+00:00,4,Valid,Power,100621,,7-Seater-Election-images-13.jpg
2025-11-28T11:05:15.297742+00:00,3,Valid,Tia,100621,,7-Seater-Election-images-13.jpg
2025-11-28T11:05:15.297742+00:00,2,Valid,Adams,118817,,7-Seater-Election-images-14.jpg
2025-11-28T11:05:15.297742+00:00,1,Valid,Crawford,118817,,7-Seater-Election-images-14.jpg
2025-11-28T11:05:15.297742+00:00,6,Valid,Grolish,118817,,7-Seater-Election-images-14.jpg
2025-11-28T11:05:15.297742+00:00,5,Valid,Middleton,118817,,7-Seater-Election-images-14.jpg
2025-11-28T11:05:15.297742+00:00,3,Valid,Power,118817,,7-Seater-Election-images-14.jpg
2025-11-28T11:05:15.297742+00:00,4,Valid,Tia,118817,,7-Seater-Election-images-14.jpg
2025-11-28T11:05:15.297742+00:00,8,Doubtful,Adams,56612,,7-Seater-Election-images-15.jpg
2025-11-28T11:05:15.297742+00:00,6,Doubtful,Crawford,56612,,7-Seater-Election-images-15.jpg
2025-11-28T11:05:15.297742+00:00,5,Doubtful,Daniels,56612,,7-Seater-Election-images-15.jpg
2025-11-28T11:05:15.297742+00:00,2,Doubtful,Dewey,56612,,7-Seater-Election-images-15.jpg
2025-11-28T11:05:15.297742+00:00,1,Doubtful,Grolish,56612,,7-Seater-Election-images-15.jpg
2025-11-28T11:05:15.297742+00:00,3,Doubtful,Guinness,56612,,7-Seater-Election-images-15.jpg
2025-11-28T11:05:15.297742+00:00,4,Doubtful,Hennessey,56612,,7-Seater-Election-images-15.jpg
2025-11-28T11:05:15.297742+00:00,7,Doubtful,Middleton,56612,,7-Seater-Election-images-15.jpg
2025-11-28T11:05:15.297742+00:00,7,Valid,Adams,22327,,7-Seater-Election-images-16.jpg
2025-11-28T11:05:15.297742+00:00,6,Valid,Daniels,22327,,7-Seater-Election-images-16.jpg
2025-11-28T11:05:15.297742+00:00,2,Valid,Dewey,22327,,7-Seater-Election-images-16.jpg
2025-11-28T11:05:15.297742+00:00,3,Valid,Grolish,22327,,7-Seater-Election-images-16.jpg
2025-11-28T11:05:15.297742+00:00,1,Valid,Guinness,22327,,7-Seater-Election-images-16.jpg
